run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,vectorized_update,update_batch_size,update_shuffle,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec,batch_prepare_time_sec,actor_update_time_sec,critic_update_time_sec
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,20,2026-05-21 21:20:12,18.942070799996145,-0.9934149736078616,0.1118137565446204,1607.053667431957,1233.632868498074,180.8818190768553,1.0,8,8,0,1249.0216597922606,1,1249.0216597922606,20,1.0962880498589593,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.012234056019224226,0.0044547732977662235,1.5112963020801544,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31640889996197075,0.6595686000073329,1.4295760999666527,0.001595199923031032,0.2030605000909418,0.4501405998598784
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,21,2026-05-21 21:20:13,19.604262400069274,-0.9589664970215123,0.09568775744320954,1551.326149620866,1217.6145163183096,154.7946886374901,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.031528691411949694,0.003953233303036541,1.3646680265665054,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3107337999390438,0.28578130004461855,0.5966162999393418,0.001526599982753396,0.1414293001871556,0.12353629991412163
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,22,2026-05-21 21:20:14,20.26073840004392,-0.9476838623247522,0.08105043020201336,1533.0741603219,1206.2033717698193,131.1157920541864,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.01975534250959754,0.0033050388447009027,1.401254490017891,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.30242920003365725,0.29151470004580915,0.5940463000442833,0.0013666999293491244,0.14170539972838014,0.11932639998849481
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,23,2026-05-21 21:20:14,20.92779009998776,-0.973433571149259,0.06683015908778679,1574.7296266689004,1412.130464038874,108.11156979750099,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.0013625407591462135,0.0028314379742369056,1.3749655783176422,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31495469994843006,0.29424169997218996,0.6093159998999909,0.001389399985782802,0.14489519991911948,0.12246519979089499
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,24,2026-05-21 21:20:15,21.602350900066085,-0.9392780309693588,0.11574696780893988,1519.475993929824,1209.5104620803143,187.24459974257582,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.021357734920457006,0.004577747778967023,1.3546830415725708,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3059301000321284,0.29555989999789745,0.60161880007945,0.0013551999581977725,0.15867889986839145,0.13038279977627099
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,25,2026-05-21 21:20:16,22.261839500046335,-0.9236760472559754,0.07945526716188402,1494.2365664881918,1221.385628943757,128.53528674482737,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.01268911687657237,0.0033842285338323563,1.347275823354721,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3173732999712229,0.2847162999678403,0.6021884999936447,0.001539599965326488,0.14845350000541657,0.13065259996801615
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,26,2026-05-21 21:20:16,22.90816710004583,-0.9890670896036513,0.09732559138252253,1600.0200680599255,1236.1872966003612,157.4442229295476,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.01544166135136038,0.003853124100714922,1.3658236116170883,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31276319990865886,0.271301900036633,0.5841705999337137,0.0014958999818190932,0.14165329991374165,0.12449329986702651
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,27,2026-05-21 21:20:17,23.558831100002863,-0.9566046590273274,0.09682440882931535,1547.505389403562,1226.3343577965904,156.63345675269076,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.04975492553785443,0.004138027929002419,1.3922228813171387,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3088098999578506,0.2784624000778422,0.5873761000111699,0.0013946000253781676,0.14806909998878837,0.12499420018866658
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,28,2026-05-21 21:20:18,24.199679300072603,-1.035335538630413,0.027101393063421735,1674.8688298264228,1617.095792575204,43.84209446422027,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.06753130140714347,0.002974894712679088,1.4136370122432709,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.29594939993694425,0.2824910000199452,0.5785447999369353,0.001375199994072318,0.14928639982827008,0.12758089997805655
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,29,2026-05-21 21:20:18,24.852645999984816,-0.9695441009606571,0.09556095070403332,1568.4376062172064,1249.9108363800153,154.58955257586211,1.0,8,8,0,,,1249.0216597922606,20,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.06172777630854398,0.004042262124130502,1.3794201612472534,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.30228649999480695,0.2926466000499204,0.5950390000361949,0.0013046999229118228,0.14796200022101402,0.1284995999885723
