run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,last10_mean,last10_std,last10_min,best_eval_makespan,best_rule_makespan,gap_to_best_rule_percent,mean_epoch_time_sec,mean_rollout_time_sec,mean_update_time_sec,total_train_time_sec,training_log_path
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u6_t40,6,40,0,943.3741523410496,174.4915900861503,620.2007420850592,616.4276089813276,1013.277564801122,-6.898742742201396,1.8121870949982257,0.6856365445001574,0.45462457899935543,19082.869739799997,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u6_t60,6,60,0,1147.9658235188354,71.72567990494804,947.3193509801082,947.3193509801082,1204.447338100797,-4.6894133761815695,3.440800900500908,1.14006235199995,1.1555770465004025,19086.51418180001,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u6_t80,6,80,0,1261.1536729975912,52.12883087547486,1200.9368668763416,1130.7601882003848,1282.4893662509803,-1.6636156068691905,4.842206622499943,1.695005203999608,1.4494638159999158,19091.630207900016,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u8_t100,8,100,0,1209.9079260675674,78.75618208747916,1115.889360477709,1115.889360477709,1148.1406775032206,5.379763105220488,8.616399475999206,2.606649006499647,3.539968657499994,19121.38260760001,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u8_t20,8,20,0,562.8380726387961,23.325740537551866,529.7716497049357,525.062774060218,573.5644240217935,-1.8701214604254766,0.9574923664997914,0.3576705135001976,0.304339261999703,19100.3887791,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u8_t40,8,40,0,640.6436875128722,25.245585058565034,589.7245077815757,589.7245077815757,658.3889127507409,-2.6952497063975978,2.2059759715001563,0.7397124064984382,0.7347513669998443,19102.790040199998,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u8_t60,8,60,0,1006.7680990285501,31.590630216388348,955.4038343844352,772.9366003669104,1094.1043618811327,-7.982443530562504,3.6360047969994778,1.2423993840006005,1.161429313999979,19106.594551100017,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_no_reward_norm_public25_seed0_20260804_084547,PPO,no_reward_norm,u8_t80,8,80,0,1112.7737201907855,44.18175892835281,1028.6677998649616,1028.6677998649616,1074.904543573859,3.523026936979775,5.814785227500251,1.859580287001445,2.1465143744988016,19112.625165000005,results\training_logs\PPO_no_reward_norm_public25_seed0_20260804_084547.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u10_t100,10,100,0,972.1820778001195,166.73754678924948,678.4337041389435,668.9803492921657,1187.1112015225146,-18.105222446451563,7.585899127499506,2.829062067999912,2.048038984500017,16151.508575800006,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u10_t20,10,20,0,498.16633756544235,10.373496401613936,481.66636327720784,480.98931346328527,513.442349514357,-2.97521463965012,0.8276954690007551,0.3357194424997579,0.17384528850023342,16131.953128799983,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u10_t40,10,40,0,604.3387176750869,20.80004506407354,572.7190148690355,562.0515047498816,627.4656809475473,-3.6857734175255605,1.9493045790000179,0.755737921500695,0.4211971560008533,16134.151998100002,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u10_t60,10,60,0,658.2263047970621,9.85754073518853,639.3268915353492,623.7647221972784,671.9934380046263,-2.048700542142716,3.5407966629992007,1.3103479169998173,0.9024640309998359,16137.888647800006,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u10_t80,10,80,0,736.171546112216,168.61396838542385,671.1904694672762,658.0578488240822,1137.024794303537,-35.25457406026542,5.586491111499636,1.9984858514997177,1.615388750000202,16143.693219299996,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u2_t100,2,100,0,3243.781965067247,60.91452090386143,3135.060538156483,2908.869158091965,3276.265468505754,-0.9914795901237663,4.25391540000026,1.7155737370011774,0.6138575884995225,16081.126258399992,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u2_t20,2,20,0,1347.2875747505382,212.34207120602287,1141.086981068558,1084.7605670023515,1235.4772701211982,9.049968569504443,0.7043143575001158,0.28863632599975975,0.17317983150052896,16069.500800399996,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u2_t40,2,40,0,1859.2915519460178,61.057815620414644,1761.714590491736,1593.4551439132329,1789.903467469675,3.8766383627623413,1.3532520214995747,0.517257162000169,0.2563902980001876,16071.062608499997,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
PPO_shared_encoder_public25_seed0_20260804_041634,PPO,shared_encoder,u2_t60,2,60,0,2476.539744497789,45.20760867962348,2388.8016638421163,2155.379034248196,2491.2066372895238,-0.5887465364050538,2.167159777000634,0.8473035885003628,0.3424547399997391,16073.420889099987,results\training_logs\PPO_shared_encoder_public25_seed0_20260804_041634.csv
