instance_id,n_usvs,n_tasks,best_rule_cmax,a2c_last10_mean,a2c_last10_std,a2c_epoch_time_mean_sec,dqn_last10_mean,dqn_last10_std,dqn_epoch_time_mean_sec,ddqn_last10_mean,ddqn_last10_std,ddqn_epoch_time_mean_sec,reinforce_last10_mean,reinforce_last10_std,reinforce_epoch_time_mean_sec,ours_last10_mean,ours_last10_std,ours_epoch_time_mean_sec,ours_gap_vs_best_drl_percent
u6_t100,6,100,1262.4323181045447,1528.1625098526395,138.24899931974005,28.658339398998795,2118.7823662853784,209.89767051006126,17.79384504750109,2121.517373272051,210.66508359730352,20.3768347314978,1543.554151886227,176.36668771239758,17.802631256999923,1275.1120274021036,24.83770128613131,7.238479077999873,-16.559134307969472
u8_t20,8,20,573.5644240217935,538.6844153780017,19.14904445223894,5.030639951999474,679.9901906711533,147.936725339456,6.06398295800318,581.6928448598679,17.959945122619228,7.760068421001197,538.45797603053,10.833044270854161,2.9583607904998144,542.9717082493578,22.568369609017587,0.9556581165001262,0.8382701008726292
u8_t40,8,40,658.3889127507409,650.7048933077622,15.884761636960702,10.421881308998563,1046.5999533889778,201.22863782962565,8.37075213649863,1065.9600650497691,69.05104782116427,10.303653622000711,730.3214901106777,148.06296022744988,6.247385702999918,640.0756608150889,16.809239816991028,2.176287670500351,-1.6334950915523547
u8_t60,8,60,1094.1043618811327,953.0428133606993,48.9989442954561,16.38368866950041,1195.7887140345051,25.114699531331336,11.432972310995684,1277.769067768785,139.24222646717584,13.467504298000422,1077.5771253662485,67.38843267575265,10.062745865000078,950.9662546787928,55.16289131260994,3.566419101499814,-0.21788723998494272
u8_t80,8,80,1074.904543573859,1153.145318949831,31.364397747375378,22.821692321499285,1601.2612968552428,43.42928165042397,15.026319123500434,1677.8447811716644,13.649108186284991,17.382733414500255,1228.5322473270085,213.78053273653725,14.160419471500074,1074.8739829384936,47.5947722878496,5.6985047614998985,-6.787638533070509
u8_t100,8,100,1148.1406775032206,1426.9533592722792,181.81653976067105,29.489202468501027,1780.4284521016132,105.63093147584775,19.190367317998607,1792.35022032191,149.36787251889086,21.884050034999383,1276.5951481745183,153.36502986770515,18.62503548000005,1168.4682963163004,25.241776273190897,8.431825792499403,-8.469940686586115
u10_t20,10,20,513.442349514357,543.4683930638533,17.736008739588627,5.116626010999171,550.305442643427,16.217562111565737,6.27017064999789,558.8042839854928,8.36751747337701,7.872022802501451,510.7137611631132,19.94611580715761,3.075859606500046,506.3992243930963,22.795681751598426,0.9983701130000191,-0.8448052702145442
u10_t40,10,40,627.4656809475473,611.2698091534194,15.758810276392293,10.79013426949983,802.9665848908198,195.40775461054548,9.020363286499924,718.43365721941,123.98745013145366,10.843856118501863,602.9119489377355,26.31695105625148,6.57735595949983,604.0155667471289,11.342471236817083,2.288995574500186,0.18304792454982521
u10_t60,10,60,671.9934380046263,701.0239803456458,97.37536895685854,16.96707564800163,1211.7109869980575,37.373642905852144,12.435956177500193,1163.725390164479,62.729138014725955,14.499305926998495,939.3247762422282,140.16742843504795,10.60149247249994,647.0271059648746,15.03212186662202,4.205659571000106,-7.702571651564264
u10_t80,10,80,1137.024794303537,1058.7252176028283,20.24270817965618,23.697275832499727,1223.6065538472249,65.04628471101334,16.568064856501007,1291.0354683959586,27.761423559637198,19.031663995001292,1093.4290288040625,97.95980084892797,14.97928679400001,735.678991106182,124.36499989093369,6.771250212499617,-30.51275450188004
u10_t100,10,100,1187.1112015225146,1061.6220322355416,27.2262880349233,30.909444664499315,1411.8902141998783,177.4062343378747,21.459391975498292,1447.089957197986,206.39438233701225,24.33713243999926,1129.7271525230956,76.84972613070106,19.89997528950011,933.7545060703527,138.80455702508965,9.078286274499842,-12.044543376320867
