instance_id,n_usvs,n_tasks,R1_cmax,R1_time_sec,R2_cmax,R2_time_sec,R3_cmax,R3_time_sec,R4_cmax,R4_time_sec,R5_cmax,R5_time_sec,best_rule_name,best_rule_cmax,ours_last10_mean,ours_last10_std,ours_last10_min,ours_epoch_time_mean_sec,gap_percent
u6_t20,6,20,539.1873163996008,0.0116164999999455,539.1873163996008,0.0117027999949641,539.1873163996008,0.0118029999939608,539.1873163996008,0.0117702000061399,875.8432185926702,0.0115829999995185,MinBattery_NearestTask,539.1873163996008,553.128305081128,18.952586342022745,503.2103667953146,0.9231000884999958,2.585555753539886
u6_t40,6,40,1013.277564801122,0.0430439999981899,1013.277564801122,0.0430402999991201,1013.277564801122,0.0429054999985965,1013.277564801122,0.042735499999253,1210.81064814677,0.0417579999993904,MinBattery_NearestTask,1013.277564801122,698.5693396155009,117.61059859309215,614.4707412851624,1.7864002759998403,-31.058442041731137
u6_t60,6,60,1204.447338100797,0.091727200000605,1204.447338100797,0.0910768000030657,1204.447338100797,0.0909772000013617,1204.447338100797,0.0902825999946799,1781.770307254355,0.08812119999493,MinBattery_NearestTask,1204.447338100797,1007.4507407347419,80.94950547569485,850.7435592778829,3.384722472000358,-16.355766759938568
u6_t80,6,80,1282.4893662509803,0.158154699995066,1282.4893662509803,0.1583167999997385,1282.4893662509803,0.1585364999991725,1282.4893662509803,0.1581546000015805,1990.1034262302112,0.1544610000055399,MinBattery_NearestTask,1282.4893662509803,1158.690342662337,39.315137129704695,1109.962037892896,4.754125917000128,-9.653025346365034
u6_t100,6,100,1262.4323181045447,0.24291539999831,1262.4323181045447,0.2431077000001096,1262.4323181045447,0.2440171999987797,1262.4323181045447,0.2504439999975147,2588.8953280469614,0.2450681999980588,MinBattery_NearestTask,1262.4323181045447,1275.1120274021036,24.83770128613131,1227.8374226826843,7.238479077999873,1.00438725432795
u8_t20,8,20,573.5644240217935,0.0147003000020049,573.5644240217935,0.0146902999986195,573.5644240217935,0.0147539000026881,573.5644240217935,0.0147722999972756,594.6205530170921,0.0144300000029033,MinBattery_NearestTask,573.5644240217935,542.9717082493578,22.568369609017587,525.062774060218,0.9556581165001262,-5.333788933058591
u8_t40,8,40,658.3889127507409,0.0532804000031319,658.3889127507409,0.0530748000019229,658.3889127507409,0.0529992999945534,658.3889127507409,0.0531262000004062,1218.711334656825,0.0522141000037663,MinBattery_NearestTask,658.3889127507409,640.0756608150889,16.809239816991028,610.6925440588285,2.176287670500351,-2.781524959030596
u8_t60,8,60,1094.1043618811327,0.1157160000002477,1094.1043618811327,0.1159761999952024,1094.1043618811327,0.1159609999958775,1094.1043618811327,0.1161294999983511,1248.589806791493,0.113951299994369,MinBattery_NearestTask,1094.1043618811327,950.9662546787928,55.16289131260994,878.6219576767726,3.566419101499814,-13.082674029032978
u8_t80,8,80,1074.904543573859,0.2021439999953145,1074.904543573859,0.2012871999977505,1074.904543573859,0.2017476999972132,1074.904543573859,0.1981128000043099,1790.9534363892533,0.1925789000015356,MinBattery_NearestTask,1074.904543573859,1074.8739829384936,47.5947722878496,1014.6475688267384,5.6985047614998985,-0.0028431022594629617
u8_t100,8,100,1148.1406775032206,0.3023109999994631,1148.1406775032206,0.3011840999970445,1148.1406775032206,0.3007906999991974,1148.1406775032206,0.3036397000032593,2192.764389417016,0.2986837999997078,MinBattery_NearestTask,1148.1406775032206,1168.4682963163004,25.241776273190897,1116.7484986150032,8.431825792499403,1.7704815456312286
u10_t20,10,20,513.442349514357,0.0174240999986068,513.442349514357,0.0173916000057943,513.442349514357,0.0174899000048753,513.442349514357,0.0179219999990891,559.9277735462435,0.0175286999947275,MinBattery_NearestTask,513.442349514357,506.3992243930963,22.795681751598426,472.6107626752299,0.9983701130000191,-1.3717460446966503
u10_t40,10,40,627.4656809475473,0.063814100001764,627.4656809475473,0.0635161000027437,627.4656809475473,0.0634175999948638,627.4656809475473,0.063004900002852,957.3671098819304,0.061522000003606,MinBattery_NearestTask,627.4656809475473,604.0155667471289,11.342471236817083,576.4767584290566,2.288995574500186,-3.7372743900520513
u10_t60,10,60,671.9934380046263,0.1372623999995994,671.9934380046263,0.1379234000050928,671.9934380046263,0.1376557999974466,671.9934380046263,0.1386840000050142,1193.9764350817031,0.1363063999961014,MinBattery_NearestTask,671.9934380046263,647.0271059648746,15.03212186662202,626.6745519050368,4.205659571000106,-3.715264261193548
u10_t80,10,80,1137.024794303537,0.2416594000023906,1137.024794303537,0.2446994999991147,1137.024794303537,0.2424337999982526,1137.024794303537,0.2415828999946825,1357.6824276116938,0.2391124999994645,MinBattery_NearestTask,1137.024794303537,735.678991106182,124.36499989093369,659.5702911787035,6.771250212499617,-35.297893696609464
u10_t100,10,100,1187.1112015225146,0.3681234000032418,1187.1112015225146,0.3629704000049969,1187.1112015225146,0.5692724999971688,1187.1112015225146,0.5020994000005885,1816.9612465912571,0.4653190999961225,MinBattery_NearestTask,1187.1112015225146,933.7545060703527,138.80455702508965,679.8878853589136,9.078286274499842,-21.342288332148033
