instance_id,n_usvs,n_tasks,rule_name,makespan,solve_time_sec,is_best_rule
u4_t20,4,20,MaxBattery_NearestTask,634.8212723082338,0.008642900000268128,0
u4_t20,4,20,NearestOrigin_NearestTask,634.8212723082338,0.008837500005029142,0
u4_t20,4,20,FarthestOrigin_NearestTask,634.8212723082338,0.008841299997584429,0
u4_t20,4,20,Random,1116.781447019792,0.00855299999966519,0
u4_t40,4,40,MinBattery_NearestTask,1208.1097192267905,0.0309281000008923,1
u4_t40,4,40,MaxBattery_NearestTask,1208.1097192267905,0.031166000000666827,0
u4_t40,4,40,NearestOrigin_NearestTask,1208.1097192267905,0.03139599999849452,0
u4_t40,4,40,FarthestOrigin_NearestTask,1208.1097192267905,0.03146330000163289,0
u4_t40,4,40,Random,1809.9456757002988,0.030713899999682326,0
u4_t60,4,60,MinBattery_NearestTask,1708.2543276618485,0.06844650000130059,1
u4_t60,4,60,MaxBattery_NearestTask,1708.2543276618485,0.06875420000142185,0
u4_t60,4,60,NearestOrigin_NearestTask,1708.2543276618485,0.06954440000117756,0
u4_t60,4,60,FarthestOrigin_NearestTask,1708.2543276618485,0.07063240000570659,0
u4_t60,4,60,Random,2452.0766097704714,0.06884910000371747,0
u4_t80,4,80,MinBattery_NearestTask,1842.4533722226693,0.12322619999758899,1
u4_t80,4,80,MaxBattery_NearestTask,1842.4533722226693,0.1233016000041971,0
u4_t80,4,80,NearestOrigin_NearestTask,1842.4533722226693,0.12326480000047013,0
u4_t80,4,80,FarthestOrigin_NearestTask,1842.4533722226693,0.12246179999783635,0
u4_t80,4,80,Random,3001.7744400044194,0.11998299999686424,0
u4_t100,4,100,MinBattery_NearestTask,1960.6385993165281,0.19074069999624044,1
u4_t100,4,100,MaxBattery_NearestTask,1960.6385993165281,0.19098780000058468,0
u4_t100,4,100,NearestOrigin_NearestTask,1960.6385993165281,0.1916644000011729,0
u4_t100,4,100,FarthestOrigin_NearestTask,1960.6385993165281,0.19166739999491256,0
u4_t100,4,100,Random,3788.7440276745037,0.18730199999845354,0
u6_t20,6,20,MinBattery_NearestTask,539.1873163996008,0.011616499999945518,1
u6_t20,6,20,MaxBattery_NearestTask,539.1873163996008,0.011702799994964153,0
u6_t20,6,20,NearestOrigin_NearestTask,539.1873163996008,0.011802999993960839,0
u6_t20,6,20,FarthestOrigin_NearestTask,539.1873163996008,0.01177020000613993,0
u6_t20,6,20,Random,875.8432185926702,0.011582999999518506,0
u6_t40,6,40,MinBattery_NearestTask,1013.277564801122,0.043043999998189975,1
u6_t40,6,40,MaxBattery_NearestTask,1013.277564801122,0.04304029999912018,0
u6_t40,6,40,NearestOrigin_NearestTask,1013.277564801122,0.0429054999985965,0
u6_t40,6,40,FarthestOrigin_NearestTask,1013.277564801122,0.04273549999925308,0
u6_t40,6,40,Random,1210.81064814677,0.04175799999939045,0
u6_t60,6,60,MinBattery_NearestTask,1204.447338100797,0.09172720000060508,1
u6_t60,6,60,MaxBattery_NearestTask,1204.447338100797,0.09107680000306573,0
u6_t60,6,60,NearestOrigin_NearestTask,1204.447338100797,0.09097720000136178,0
u6_t60,6,60,FarthestOrigin_NearestTask,1204.447338100797,0.09028259999467991,0
u6_t60,6,60,Random,1781.770307254355,0.08812119999493007,0
u6_t80,6,80,MinBattery_NearestTask,1282.4893662509803,0.15815469999506604,1
u6_t80,6,80,MaxBattery_NearestTask,1282.4893662509803,0.15831679999973858,0
u6_t80,6,80,NearestOrigin_NearestTask,1282.4893662509803,0.15853649999917252,0
u6_t80,6,80,FarthestOrigin_NearestTask,1282.4893662509803,0.15815460000158055,0
u6_t80,6,80,Random,1990.1034262302112,0.15446100000553997,0
u6_t100,6,100,MinBattery_NearestTask,1262.4323181045447,0.24291539999831002,1
u6_t100,6,100,MaxBattery_NearestTask,1262.4323181045447,0.24310770000010962,0
u6_t100,6,100,NearestOrigin_NearestTask,1262.4323181045447,0.2440171999987797,0
u6_t100,6,100,FarthestOrigin_NearestTask,1262.4323181045447,0.25044399999751477,0
u6_t100,6,100,Random,2588.8953280469614,0.24506819999805884,0
u8_t20,8,20,MinBattery_NearestTask,573.5644240217935,0.014700300002004951,1
u8_t20,8,20,MaxBattery_NearestTask,573.5644240217935,0.014690299998619594,0
u8_t20,8,20,NearestOrigin_NearestTask,573.5644240217935,0.01475390000268817,0
u8_t20,8,20,FarthestOrigin_NearestTask,573.5644240217935,0.014772299997275695,0
u8_t20,8,20,Random,594.6205530170921,0.014430000002903398,0
u8_t40,8,40,MinBattery_NearestTask,658.3889127507409,0.053280400003131945,1
u8_t40,8,40,MaxBattery_NearestTask,658.3889127507409,0.053074800001922995,0
u8_t40,8,40,NearestOrigin_NearestTask,658.3889127507409,0.05299929999455344,0
u8_t40,8,40,FarthestOrigin_NearestTask,658.3889127507409,0.05312620000040624,0
u8_t40,8,40,Random,1218.711334656825,0.05221410000376636,0
u8_t60,8,60,MinBattery_NearestTask,1094.1043618811327,0.11571600000024773,1
u8_t60,8,60,MaxBattery_NearestTask,1094.1043618811327,0.11597619999520248,0
u8_t60,8,60,NearestOrigin_NearestTask,1094.1043618811327,0.1159609999958775,0
u8_t60,8,60,FarthestOrigin_NearestTask,1094.1043618811327,0.1161294999983511,0
u8_t60,8,60,Random,1248.589806791493,0.11395129999436904,0
u8_t80,8,80,MinBattery_NearestTask,1074.904543573859,0.20214399999531452,1
u8_t80,8,80,MaxBattery_NearestTask,1074.904543573859,0.20128719999775058,0
u8_t80,8,80,NearestOrigin_NearestTask,1074.904543573859,0.2017476999972132,0
u8_t80,8,80,FarthestOrigin_NearestTask,1074.904543573859,0.19811280000430997,0
u8_t80,8,80,Random,1790.9534363892533,0.19257890000153566,0
u8_t100,8,100,MinBattery_NearestTask,1148.1406775032206,0.3023109999994631,1
u8_t100,8,100,MaxBattery_NearestTask,1148.1406775032206,0.30118409999704454,0
u8_t100,8,100,NearestOrigin_NearestTask,1148.1406775032206,0.3007906999991974,0
u8_t100,8,100,FarthestOrigin_NearestTask,1148.1406775032206,0.30363970000325935,0
u8_t100,8,100,Random,2192.764389417016,0.29868379999970784,0
u10_t20,10,20,MinBattery_NearestTask,513.442349514357,0.017424099998606835,1
u10_t20,10,20,MaxBattery_NearestTask,513.442349514357,0.017391600005794317,0
u10_t20,10,20,NearestOrigin_NearestTask,513.442349514357,0.01748990000487538,0
u10_t20,10,20,FarthestOrigin_NearestTask,513.442349514357,0.017921999999089167,0
