instance_id,n_usvs,n_tasks,full_last10_mean,full_last10_std,full_epoch_time_mean_sec,no_hgnn_last10_mean,no_hgnn_last10_std,no_hgnn_epoch_time_mean_sec,no_hgnn_gap_to_full_percent,shared_encoder_last10_mean,shared_encoder_last10_std,shared_encoder_epoch_time_mean_sec,shared_encoder_gap_to_full_percent,no_reward_norm_last10_mean,no_reward_norm_last10_std,no_reward_norm_epoch_time_mean_sec,no_reward_norm_gap_to_full_percent
u6_t40,6,40,698.5693396155009,117.61059859309215,1.7864002759998403,739.3281227922109,124.64868067744453,0.7699528345003637,5.8346080861699505,726.7633524325024,137.12068087225532,1.565340973499624,4.0359648238383565,943.3741523410496,174.4915900861503,1.8121870949982257,35.043738515677134
u6_t60,6,60,1007.4507407347419,80.94950547569485,3.384722472000358,1007.8640007943119,78.93327801102764,1.4740664874993672,0.04102037378707102,1203.614198394523,5.163815664696971,2.890393205999353,19.47127037861103,1147.9658235188354,71.72567990494804,3.440800900500908,13.947588413267203
u6_t80,6,80,1158.690342662337,39.315137129704695,4.754125917000128,1188.9128980072403,71.32637076305038,2.2189408774999175,2.608337554230467,1291.7462979349734,26.228320398504785,4.151923383500398,11.483305795654795,1261.1536729975912,52.12883087547486,4.842206622499943,8.843029631180242
u6_t100,6,100,1275.1120274021036,24.83770128613131,7.238479077999873,1363.4166807676297,188.74783262814302,3.327390131500215,6.925246681692494,1285.5793000084784,17.81368014886621,6.130328766500097,0.8208904301295508,1539.390777628839,147.45164633651152,7.385103758500481,20.725924040193817
u8_t20,8,20,542.9717082493578,22.568369609017587,0.9556581165001262,529.9817580403362,3.604618433553706,0.3885389564991783,-2.392380673185275,563.058816170362,15.610181292551012,0.7832252635003534,3.699475979286062,562.8380726387961,23.325740537551866,0.9574923664997914,3.6588212769853516
u8_t40,8,40,640.0756608150889,16.809239816991028,2.176287670500351,639.5752017380313,14.392744915559348,0.9415761455002939,-0.07818748746363847,633.8644247754758,12.817671233332614,1.8253122315006476,-0.9703909115531111,640.6436875128722,25.245585058565034,2.2059759715001563,0.08874368024867758
u8_t60,8,60,950.9662546787928,55.16289131260994,3.566419101499814,855.583599535553,77.07142421372492,1.6559584269995684,-10.030077794448875,937.4738367609459,214.14943321467263,3.084209243000514,-1.41881143010739,1006.7680990285501,31.590630216388348,3.6360047969994778,5.867910041519343
u8_t80,8,80,1074.8739829384936,47.5947722878496,5.6985047614998985,1070.160892257519,52.13494185127623,2.644280863000022,-0.43847844080195464,1115.182883681055,31.44033397963787,4.8212857829999844,3.7501047920394264,1112.7737201907855,44.18175892835281,5.814785227500251,3.525970286180112
u8_t100,8,100,1168.4682963163004,25.241776273190897,8.431825792499403,1167.8981772227555,31.10028071697151,3.9314805519997025,-0.04879200362921857,1213.845116190773,109.7561621798387,6.999621310001239,3.8834446786042087,1209.9079260675674,78.75618208747916,8.616399475999206,3.54649158063672
u10_t20,10,20,506.3992243930963,22.795681751598426,0.9983701130000191,510.16460099369306,6.772815773103696,0.42701700699981304,0.7435589193702762,498.16633756544235,10.373496401613936,0.8276954690007551,-1.6257700310502647,525.6917145570397,19.50497187667945,1.0015869879999082,3.8097392797283414
u10_t40,10,40,604.0155667471289,11.342471236817083,2.288995574500186,586.1849109664802,10.63641472318456,1.0452560870001617,-2.9520192462379913,604.3387176750869,20.80004506407354,1.9493045790000179,0.053500430410801186,604.9369229050869,11.207572932846045,2.329465756000718,0.15253847892032157
u10_t60,10,60,647.0271059648746,15.03212186662202,4.205659571000106,658.8906646317162,9.525512479968672,1.9708573939995404,1.8335489436953463,658.2263047970621,9.85754073518853,3.5407966629992007,1.7308701179507342,690.8854134082251,87.0693017385506,4.283081763999653,6.7784343250885986
u10_t80,10,80,735.678991106182,124.36499989093369,6.771250212499617,711.0913388242344,78.64270783758975,3.171584512000336,-3.342171324612262,736.171546112216,168.61396838542385,5.586491111499636,0.06695243604732434,853.3654446131944,154.61760163938678,6.882793685999059,15.99698440892768
u10_t100,10,100,933.7545060703527,138.80455702508965,9.078286274499842,933.6749886211371,64.26876400746498,4.4874709024999175,-0.008515883853694133,972.1820778001195,166.73754678924948,7.585899127499506,4.115382734963905,1048.0956491995364,64.74392081387305,9.267633119000529,12.245310987615069
